,Pais,Ano,Consumo de energia per capita (kWh)
141,Estados Unidos,1996,93299.17079705032
142,Estados Unidos,1997,92838.946258554
143,Estados Unidos,1998,92273.42891849668
144,Estados Unidos,1999,92769.66648024262
145,Estados Unidos,2000,93810.54558798228
146,Estados Unidos,2001,90665.24955730527
147,Estados Unidos,2002,91122.30687366244
148,Estados Unidos,2003,90608.35998628497
149,Estados Unidos,2004,91590.31226265096
150,Estados Unidos,2005,90809.18804041618
151,Estados Unidos,2006,89239.24328306488
152,Estados Unidos,2007,89629.95653546405
153,Estados Unidos,2008,86587.17407717521
154,Estados Unidos,2009,81548.3560929362
155,Estados Unidos,2010,83575.46852979485
156,Estados Unidos,2011,82097.03000607785
157,Estados Unidos,2012,79330.565126235
158,Estados Unidos,2013,80853.40735417177
159,Estados Unidos,2014,81112.61800181952
160,Estados Unidos,2015,79771.64184792025
161,Estados Unidos,2016,79130.81757752558
162,Estados Unidos,2017,78894.4096557472
163,Estados Unidos,2018,81188.3594931145
164,Estados Unidos,2019,79897.15140716982
